angry,disgust,fear,happy,sad,surprise,neutral
0.05,0.0,0.09,0.01,0.32,0.03,0.5
0.05,0.0,0.1,0.01,0.41,0.01,0.41
0.06,0.0,0.1,0.01,0.46,0.03,0.34
0.05,0.0,0.09,0.01,0.56,0.02,0.28
0.01,0.0,0.04,0.0,0.92,0.0,0.03
0.02,0.0,0.05,0.0,0.86,0.0,0.07
0.03,0.0,0.07,0.0,0.7,0.0,0.19
0.04,0.0,0.1,0.0,0.52,0.0,0.34
0.05,0.0,0.06,0.0,0.38,0.0,0.51
0.03,0.0,0.04,0.0,0.34,0.0,0.59
0.02,0.0,0.03,0.0,0.19,0.0,0.75
0.03,0.0,0.04,0.0,0.15,0.0,0.77
0.04,0.0,0.03,0.0,0.31,0.0,0.61
0.04,0.0,0.07,0.0,0.36,0.0,0.53
0.03,0.0,0.03,0.02,0.21,0.01,0.71
0.09,0.0,0.05,0.0,0.34,0.01,0.51
0.1,0.0,0.06,0.01,0.25,0.01,0.57
0.09,0.0,0.05,0.0,0.42,0.01,0.43
0.12,0.0,0.07,0.0,0.44,0.01,0.37
0.21,0.0,0.1,0.0,0.48,0.01,0.21
0.24,0.0,0.07,0.0,0.36,0.0,0.32
0.21,0.0,0.12,0.0,0.51,0.01,0.15
0.35,0.0,0.09,0.0,0.33,0.01,0.21
0.22,0.0,0.15,0.0,0.47,0.02,0.14
0.19,0.0,0.12,0.0,0.47,0.01,0.21
0.19,0.0,0.12,0.0,0.51,0.01,0.17
0.16,0.0,0.16,0.0,0.52,0.02,0.14
0.17,0.0,0.12,0.0,0.47,0.0,0.23
0.18,0.0,0.09,0.0,0.5,0.0,0.22
0.15,0.0,0.17,0.0,0.54,0.01,0.13
0.05,0.0,0.04,0.0,0.83,0.0,0.07
0.02,0.0,0.02,0.0,0.93,0.0,0.03
0.02,0.0,0.01,0.0,0.89,0.0,0.07
0.05,0.0,0.03,0.0,0.58,0.0,0.33
0.06,0.0,0.09,0.01,0.52,0.0,0.32
0.1,0.0,0.1,0.01,0.46,0.01,0.32
0.04,0.0,0.07,0.03,0.47,0.0,0.4
0.05,0.0,0.08,0.01,0.5,0.0,0.36
0.06,0.0,0.07,0.01,0.53,0.0,0.33
0.05,0.0,0.11,0.01,0.48,0.01,0.35
0.09,0.0,0.11,0.01,0.57,0.01,0.22
0.07,0.0,0.09,0.01,0.52,0.01,0.31
0.07,0.0,0.13,0.01,0.51,0.01,0.27
0.05,0.0,0.12,0.03,0.4,0.03,0.38
0.08,0.0,0.13,0.08,0.24,0.07,0.39
0.05,0.0,0.1,0.22,0.22,0.04,0.37
0.03,0.0,0.06,0.4,0.19,0.04,0.28
0.03,0.0,0.05,0.31,0.18,0.02,0.41
0.06,0.0,0.11,0.15,0.29,0.03,0.36
0.05,0.0,0.07,0.08,0.33,0.01,0.45
0.09,0.0,0.1,0.09,0.34,0.02,0.36
0.05,0.0,0.08,0.16,0.25,0.03,0.44
0.06,0.0,0.06,0.12,0.27,0.01,0.48
0.04,0.0,0.04,0.13,0.2,0.01,0.58
0.03,0.0,0.03,0.24,0.2,0.01,0.49
0.02,0.0,0.03,0.21,0.2,0.01,0.53
0.03,0.0,0.05,0.2,0.24,0.01,0.48
0.03,0.0,0.05,0.2,0.2,0.01,0.51
0.04,0.0,0.04,0.27,0.18,0.01,0.47
0.04,0.0,0.06,0.23,0.2,0.02,0.47
0.03,0.0,0.04,0.26,0.18,0.02,0.47
0.04,0.0,0.04,0.2,0.18,0.01,0.53
0.02,0.0,0.03,0.12,0.14,0.0,0.68
0.03,0.0,0.03,0.08,0.2,0.0,0.66
0.02,0.0,0.04,0.13,0.21,0.01,0.6
0.03,0.0,0.06,0.14,0.23,0.02,0.53
0.03,0.0,0.06,0.09,0.22,0.01,0.59
0.03,0.0,0.05,0.08,0.24,0.01,0.59
0.03,0.0,0.03,0.08,0.15,0.01,0.71
0.02,0.0,0.03,0.1,0.19,0.01,0.65
0.04,0.0,0.05,0.1,0.19,0.01,0.61
0.04,0.0,0.05,0.1,0.2,0.01,0.59
0.03,0.0,0.05,0.1,0.25,0.01,0.56
